Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
California Paid Sick Days,HIA reports,"2008, January","An HIA that examined the health effects of the paid sick leave policy proposed in California Assembly Bill 2716: Healthy Families, Healthy Workplaces Act of 2008.","Human Impact Partners, San Francisco Department of Public Health",,,California,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Legislation,Mental/behavioral health,Wages","Employment,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Chronic health conditions,Economically disadvantaged","Primary research,Literature review,Qualitative research,Focus groups",Yes,Other funding,Completed
California High-Speed Rail: San Jose to Merced Corridor,HIA reports,"2011, May",An HIA to inform design decisions for the San Jose-Merced corridor of the California High Speed Rail.,University of California-Berkeley,,San Jose,California,,"Planning and zoning,Transportation","Land-use planning,Rail,Water","Employment,Safe and affordable public transit,Safe and accessible active transportation routes,Income and wealth",State,"Urban,Suburban,Rural",Educational institution,"Chronic health conditions,Older adults,Economically disadvantaged,Racial and ethnic minorities,Children",Literature review,No,Other funding,Completed
California Drinking Water Project Funding,HIA reports,"2016, November",An HIA to provide recommendations to the California Water Board on criteria used to determine funding for drinking water projects and to standardize the use of HIAs among California agencies.,"Sequoia Foundation, in collaboration with the California Department of Public Health and Public Health Institute, and California Water Board",,,California,,Planning and zoning,"Financing,Mental/behavioral health,Planning,Water",Clean air and water,State,Rural,Nonprofit organization,Economically disadvantaged,Primary research,No,Health Impact Project grantee,Completed
"California Domestic Worker Equality, Fairness and Dignity Act",HIA reports,"2011, May","An HIA that addressed proposed legislation in California that extended labor protections including overtime compensation, meal and rest periods, and uninterrupted sleep periods with compensation to domestic workers. ",San Francisco Department of Public Health,,,California,,Labor and employment,"Human resources policies, benefits,Legislation,Wages","Employment,Income and wealth",State,"Urban,Suburban,Rural",Government agency,"Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Focus groups,Literature review,Primary research",No,Other funding,Completed
Single-Room Occupancy Hotels in San Francisco,HIA reports,2016,"An HIA to explore how proposed policies could improve health for residents in single-room occupancy hotels, the largest source of inexpensive housing for the city’s most vulnerable populations.",San Francisco Department of Public Health,,San Francisco,California,,Housing,"Mental/behavioral health,Sanitation","Safe, affordable, and healthy housing",Local,Urban,Government agency,"Children,Chronic health conditions,Older adults,Individuals with disabilities,Mental illness","Focus groups,Literature review,Primary research",Yes,Other funding,Completed
Vehicle-Pedestrian Injury Collisions in San Francisco’s Central Corridor,HIA reports,2013,An HIA to predict how changes to land use and transportation would affect the number of vehicle-pedestrian injury collisions at intersections with traffic signals in San Francisco’s Central Corridor project area.,San Francisco Department of Public Health,,San Francisco,California,,"Planning and zoning,Transportation","Bridges and roads,Land-use planning",Safe street infrastructure,Local,Urban,Government agency,"Older adults,Individuals with disabilities","Literature review,Quantitative research",Yes,Other funding,Completed
Street Vendor Legalization and Student Nutrition in South Los Angeles,HIA reports,"2015, August","An HIA of a proposal to offer permits for sidewalk vending, focusing on how the policy could change the nutritional behaviors of students in South Los Angeles.",Community Health Councils Inc.,,Los Angeles,California,,"Food and nutrition policy,Planning and zoning","Food and nutrition,Regulation","Access to healthy food,Diet and physical activity,Employment",Local,Urban,Nonprofit organization,Chronic health conditions,"Primary research,Qualitative research,Quantitative research",No,Other funding,Completed
Still/Lyell Freeway Channel in Excelsior District,HIA reports,2009,"An HIA that addressed air pollution, noise, and traffic-related injuries associated with the traffic and transportation system in the Excelsior District of San Francisco.","San Francisco Department of Public Health, UC Berkeley, People Organizing to Demand Environmental and Economic Rights",,San Francisco,California,,Transportation,Bridges and roads,"Clean air and water,Noise,Safe street infrastructure",Local,Urban,Government agency,"Children,Racial and ethnic minorities",Qualitative research,No,Other funding,Completed
San Francisco Living Wage Ordinance,HIA reports,1999,An HIA of a proposed ordinance that would require city contractors and property leaseholders to pay employees a living wage of $11 an hour.,San Francisco Department of Public Health,,San Francisco,California,,Labor and employment,"Mental/behavioral health,Regulation,Wages",Income and wealth,Local,Urban,Government agency,Economically disadvantaged,"Literature review,Quantitative research,Qualitative research",No,Other funding,Completed
Reducing Sodium in the County of Los Angeles,HIA reports,2009,"An HIA to determine facilitators of and barriers to a prosposed food-procurement policy in Los Angeles County, California.",Centers for Disease Control and Prevention; County of Los Angeles Department of Public Health,,Los Angeles,California,,"Consumer products,Food and nutrition policy","Food and nutrition,Regulation","Diet and physical activity,Access to healthy food,Income and wealth",County,"Urban,Suburban",Government agency,Other,"Primary research,Qualitative research,Literature review",No,Other funding,Completed
Port Container Fee,HIA reports,In progress,"An HIA that addressed a proposed California bill that would assess a fee on each container moving through the ports of Los Angeles, Long Beach, and Oakland.",Human Impact Partners,,"Ports of Los Angeles, Oakland and Long Beach",California,,Transportation,"Financing,Legislation,Ports and waterways","Clean air and water,Safe street infrastructure",State,Urban,Nonprofit organization,,,Yes,Other funding,In progress
Oakland Education to Employment Academy,HIA reports,2014,"An HIA to inform the Oakland, California, school board’s decision on funding and establishing a secondary, specialized learning academy within a low-performing high school in East Oakland.",Youth UpRising,,Oakland,California,,Education,"Programs,Schools,Workforce development","Education,Employment,Family and social support,Income and wealth",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged","Literature review,Qualitative research,Primary research,Focus groups",No,Health Impact Project grantee,Completed
Oak to Ninth Avenue ,HIA reports,2006,"An HIA on the “Oak to Ninth” waterfront development project in Oakland, California.",University of California Berkeley Health Impact Group,,Oakland,California,,"Natural resources management,Planning and zoning","Land-use planning,Parks and green spaces,Ports and waterways,Siting","Clean air and water,Family and social support,Noise,Safe, affordable, and healthy housing,Safe street infrastructure",Local,Urban,Educational institution,"Children,Economically disadvantaged,Older adults","Quantitative research,Literature review,Primary research,GIS mapping,Qualitative research",No,Other funding,Completed
Metro Westside Subway Extension (Wilshire Corridor),HIA reports,2012,An HIA to assess the potential health effects of a proposed subway and other mass-transit alternatives through Los Angeles’ highly congested Wilshire Corridor.,"UCLA School of Public Health, Los Angeles County Department of Public Health ",,Los Angeles,California,,Transportation,"Active transportation,Economic development,Planning,Public transit,Siting","Access to healthy food,Access to services/medical care,Clean air and water,Community safety,Diet and physical activity,Family and social support,Noise,Safe and accessible active transportation routes",Local,Urban,Educational institution,"Children,Economically disadvantaged,Older adults,Homeless,Individuals with disabilities,Racial and ethnic minorities","Literature review,Qualitative research,Primary research",No,Health Impact Project grantee,Completed
Merced County General Plan Update,HIA reports,2009,"A rapid HIA that addressed the health implications of an update to the general plan in Merced County, California.",Human Impact Partners,,Merced County,California,,"Agriculture,Planning and zoning","Land-use planning,Long-range planning,Water","Access to healthy food,Access to services/medical care,Clean air and water,Community safety,Employment,Income and wealth",County,"Urban,Suburban",Nonprofit organization,"Chronic health conditions,Economically disadvantaged",,Yes,Other funding,Completed
Long Beach Downtown Plan ,HIA reports,"2011, April","A rapid HIA to examine how the proposed Long Beach Downtown Plan would affect residents’ health and employment, particularly low-income and underserved populations.",Human Impact Partners,,Long Beach,California,,"Community development,Planning and zoning","Economic development,Land-use planning,Long-range planning","Employment,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Literature review,Qualitative research,Quantitative research",Yes,Other funding,Completed
"Language Interpretation Services in Kern County, California",HIA reports,In progress,"An HIA to examine how access to language interpretation services affects individuals’ ability to navigate systems related to health outcomes in Kern County, California, such as how people seek and receive health care, interactions with local law enforcement, and access to housing and employment.","California Rural Legal Assistance, Inc.; University of California Davis Center for Regional Change",,Kern County,California,,Education,Programs,"Access to services/medical care,Employment,Family and social support,Safe, affordable, and healthy housing",County,,"Nonprofit organization,Educational institution","Linguistically isolated,Racial and ethnic minorities",,No,Health Impact Project grantee,In progress
Shelter-in-Place Policy,HIA reports,2015,An HIA to analyze San Francisco’s capacity to support shelter-in-place policies in the event of an earthquake or other major disaster that highlighted areas warranting further attention to better protect residents.,San Francisco Department of Public Health,,San Francisco,California,,Housing,Emergency preparedness/ response,"Access to healthy food,Access to services/medical care,Safe, affordable, and healthy housing",Local,Urban,Government agency,"Children,Chronic health conditions,Economically disadvantaged,Older adults,Mental illness,Individuals with disabilities,Linguistically isolated,Racial and ethnic minorities","Literature review,GIS mapping,Primary research,Qualitative research",Yes,Other funding,Completed
Ports of Los Angeles and Long Beach,HIA reports,2010,"An HIA scoping project that will address the health implications of expansion projects and plans at the ports of Los Angeles and Long Beach, California.","U.S. Environmental Protection Agency, Human Impact Partners",,Los Angeles and Long Beach,California,,"Planning and zoning,Transportation","Economic development,Planning,Ports and waterways","Clean air and water,Employment,Family and social support,Income and wealth,Safe, affordable, and healthy housing,Safe street infrastructure",Federal,Urban,Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Older adults,Linguistically isolated,Racial and ethnic minorities","Primary research,Focus groups,Literature review,Qualitative research",No,Other funding,Completed
"Community Development Decisions in Merced County, California",HIA reports,"2013, January","An HIA to examine the effects of community development decisions on safety and employment in Merced County, California.",Merced County Department of Public Health,,,California,,"Community development,Planning and zoning",Planning,"Access to healthy food,Adverse childhood experiences,Community safety,Employment,Income and wealth,Safe and affordable parks and recreational facilities",County,Urban,Government agency,Children,,No,Health Impact Project grantee,In progress
Colorado Statewide Regulatory Structure for Retail Marijuana,HIA reports,"2013, August","A rapid HIA of the Colorado statewide regulatory structure for retail marijuana, with a focus on packaging.",Colorado School of Public Health and Colorado’s Children’s Hospital,,,Colorado,,Consumer products,"Regulation,Legislation,Addictive substances and behaviors","Alcohol, tobacco, and drug use,Adverse childhood experiences",State,Suburban,Educational institution,Children,"Literature review,Primary research",Yes,Other funding,Completed
Globeville and Elyria Swansea Neighborhood Plan HIA,HIA reports,"2014, January","An HIA of the potential effects of plans for the Globeville and Elyria Swansea neighborhoods of North Denver on environmental quality, access to goods and services, connectivity and mobility, community safety, and mental well-being.",Denver Environmental Health Department,,Denver,Colorado,,"Planning and zoning,Transportation","Bridges and roads,Land-use planning,Mental/behavioral health,Parks and green spaces","Access to healthy food,Access to services/medical care,Clean air and water,Community safety,Education,Employment,Income and wealth,Noise,Safe and affordable parks and recreational facilities,Safe street infrastructure",Local,Urban,Government agency,"Economically disadvantaged,Children,Racial and ethnic minorities","Quantitative research,Qualitative research,Primary research,Literature review,Survey",No,Other funding,Completed
New Mexico Food Tax,HIA reports,"2015, November",An HIA of a proposed repeal of the 2004 sales tax exemption for food in New Mexico.,New Mexico Voices for Children,,,New Mexico,,Tax and budget policy,"Food and nutrition,Legislation","Access to healthy food,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Children,Economically disadvantaged,Racial and ethnic minorities","Literature review,Quantitative research,Focus groups,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
Roca Honda Mine,HIA reports,"2013, March",An HIA of a proposed underground uranium mining operation in the Cibola National Forest in New Mexico.,U.S. Forest Service,,San Mateo,New Mexico,,"Industrial,Natural resources management,Planning and zoning","Forests,Land-use planning,Minerals","Clean air and water,Cultural well-being,Safe and affordable parks and recreational facilities",Local,"Tribal,Rural",Government agency,Racial and ethnic minorities,"Qualitative research,Primary research",No,Other funding,Completed
Santo Domingo Pueblo Community Master Plan,HIA reports,In Progress,"An HIA to inform development of a community master plan with the Santo Domingo Pueblo tribe, outside Santa Fe, New Mexico, a community of about 5,100 adults and children, many of whom live in older, historic dwellings with poor indoor air quality, ventilation, and general living conditions.","University of Virginia, School of Architecture and Department of Public Health Sciences; Santo Domingo Tribe; Santo Domingo Tribal Housing Authority",,Sandoval County,New Mexico,,"Housing,Community development","Mental/behavioral health,Planning","Safe, affordable, and healthy housing,Clean air and water,Family and social support,Cultural well-being,Safe and accessible active transportation routes,Access to healthy food",Local,"Tribal,Rural",Educational institution,,,No,Health Impact Project grantee,Discontinued
Sunport Boulevard Extension,HIA reports,"2015, September","An HIA of how the Sunport Boulevard project in south Albuquerque, New Mexico, which would extend the road as a four-lane divided highway for about a half-mile, would affect the local community in terms of exposure to environmental hazards, injuries and collisions, and social connectivity.","Human Impact Partners, Bernalillo County PLACE MATTERS, New Mexico Health Equity Partnership-Santa Fe Community Foundation, New Mexico Department of Health, SouthWest Organizing Project",,Albuquerque,New Mexico,,Transportation,"Bridges and roads,Siting","Clean air and water,Safe street infrastructure",Local,Urban,Nonprofit organization,"Children,Chronic health conditions,Older adults,Economically disadvantaged,Racial and ethnic minorities","Qualitative research,Primary research",No,Other funding,Completed
Bloomfield Avenue Complete Corridor Plan,HIA reports,"2014, August","An HIA to inform the development of a Complete Corridor plan for Bloomfield Avenue in Essex County, New Jersey.",New Jersey Health Impact Collaborative; Together North Jersey,,Essex County,New Jersey,,"Transportation,Planning and zoning","Bridges and roads,Active transportation,Mental/behavioral health,Planning,Economic development","Safe street infrastructure,Safe and accessible active transportation routes,Diet and physical activity,Family and social support",County,Urban,Educational institution,"Economically disadvantaged,Older adults,Individuals with disabilities,Racial and ethnic minorities","Qualitative research,Primary research,Quantitative research",Yes,Other funding,Completed
Hoboken Stormwater Management Plan and Ordinance,HIA reports,2016,"An HIA to consider the potential health effects of an innovative stormwater management plan in Hoboken, New Jersey.","Edward J. Bloustein School of Planning and Public Policy, Rutgers, the State University of New Jersey; New Jersey Future; and City of Hoboken",,Hoboken,New Jersey,,Planning and zoning,"Resilience and sustainability,Waste management,Water","Clean air and water,Community safety,Employment,Income and wealth",Local,Urban,Educational institution,"Economically disadvantaged,Older adults,Individuals with disabilities","Focus groups,Primary research,Qualitative research,Literature review",No,Health Impact Project grantee,Completed
Middlesex Greenway Use and Access Plan,HIA reports,"2014, August",An HIA to inform development and increased use of and access to a “rails-to-trails” greenway in central New Jersey.,"New Jersey Health Impact Collaborative, Together North Jersey",,Middlesex County,New Jersey,,"Planning and zoning,Transportation","Active transportation,Parks and green spaces,Planning,Public transit","Clean air and water,Community safety,Diet and physical activity,Family and social support,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,"Rural,Urban",Educational institution,"Older adults,Racial and ethnic minorities","Literature review,Qualitative research,Primary research",Yes,Other funding,Completed
Mystic Island Voluntary Buyout Scenarios,HIA reports,2016,"An HIA to assess the potential health implications of a coordinated voluntary buyout strategy in the Mystic Island section of Little Egg Harbor Township, New Jersey, an area severely affected by Hurricane Sandy.","Edward J. Bloustein School of Planning and Public Policy, Rutgers, the State University of New Jersey; New Jersey Future; and Little Egg Harbor Township",,Little Egg Harbor,New Jersey,,Planning and zoning,"Emergency preparedness/ response,Financing,Mental/behavioral health,Programs,Resilience and sustainability","Clean air and water,Diet and physical activity,Disease vectors,Family and social support,Income and wealth,Safe and affordable parks and recreational facilities",Local,Urban,Educational institution,"Economically disadvantaged,Older adults,Individuals with disabilities","Literature review,Primary research,Survey,Qualitative research",No,Health Impact Project grantee,Completed
Trenton Farmer's Market,HIA reports,2007,"An HIA that considered three alternative scenarios for proposed changes to a farmer’s market in Trenton, New Jersey.",UCLA Health Impact Assessment Group,,Trenton,New Jersey,,Other,"Food and nutrition,Programs","Access to healthy food,Diet and physical activity",Local,,Educational institution,"Racial and ethnic minorities,Chronic health conditions","Literature review,Qualitative research,Quantitative research",No,Other funding,Completed
"Second Street Corridor-Manchester, NH",HIA reports,2013,"An HIA to examine the potential health effects of the Second Street Corridor Project in Manchester, New Hampshire.",Southern New Hampshire Planning Commission,,Manchester,New Hampshire,,"Planning and zoning,Transportation","Active transportation,Economic development","Access to healthy food,Diet and physical activity,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Nonprofit organization,"Children,Economically disadvantaged","Literature review,Qualitative research,Primary research",No,Other funding,Completed
"Complete Streets Ordinance-Nashua, New Hampshire",HIA reports,In progress,"An HIA examining community connectivity, opportunities for physical activity, pedestrian safety, reducing commuting times, and health effects related to air quality resulting from implementation of the National Policy and Legal Analysis Network’s Complete Streets Model Ordinance in Nashua, New Hampshire.","Nashua Regional Planning Commission, HNHfoundation",,Nashua,New Hampshire,,"Transportation,Planning and zoning","Public transit,Active transportation,Planning","Clean air and water,Safe and affordable public transit,Safe and accessible active transportation routes,Safe street infrastructure,Community safety,Diet and physical activity",Regional,Urban,Government agency,"Economically disadvantaged,Racial and ethnic minorities,Children,Older adults,Homeless,Mental illness,Chronic health conditions,Individuals with disabilities",,No,Other funding,In progress
"Comprehensive Cluster Residential Ordinance-Milford, New Hampshire",HIA reports,"2014, June","An HIA to address health issues related to air quality and increased opportunities for physical activity associated with a new Comprehensive Cluster Residential Ordinance in Milford, New Hampshire.","Nashua Regional Planning Commission, HNHfoundation",,Milford,New Hampshire,,"Planning and zoning,Housing","Long-range planning,Active transportation,Legislation","Clean air and water,Diet and physical activity,Safe, affordable, and healthy housing",Local,Urban,Government agency,"Children,Economically disadvantaged,Older adults","Literature review,Quantitative research",No,Other funding,Completed
New Hampshire Paid Sick Days,HIA reports,"2009, August","An HIA that addressed H.B. 662, New Hampshire’s version of the federal Healthy Families Act, which would entitle employees to accrue an hour of paid sick time for every 30 hours worked, up to nine days a year.",Human Impact Partners,,,New Hampshire,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Legislation,Wages","Employment,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Economically disadvantaged,Older adults",Literature review,No,Other funding,Completed
New Hampshire State Budget,HIA reports,2012,An HIA that informed lawmakers about how changes to parts of the New Hampshire state budget might affect the health of residents.,New Hampshire Center for Public Policy Studies,,,New Hampshire,,Tax and budget policy,Financing,"Access to services/medical care,Safe, affordable, and healthy housing",State,"Urban,Suburban,Rural",Nonprofit organization,Economically disadvantaged,"Qualitative research,Literature review,Primary research",Yes,Health Impact Project grantee,Completed
Alabama Avenue Bike Lanes,HIA reports,In progress,"An HIA on proposed bike lanes in Southeast Washington, D.C.","Safe Routes to School Network, Johns Hopkins University",,Washington,District of Columbia,,"Transportation,Planning and zoning","Active transportation,Planning","Diet and physical activity,Safe and accessible active transportation routes",Local,Urban,Educational institution,,,No,Other funding,In progress
State Route 50 Bus Rapid Transit,HIA reports,"2016, January","An HIA of proposed bus rapid transit along State Route 50 in Orlando, Florida.","MetroPlan Orlando, University of Central Florida, Winter Park Health Foundation",,Orlando,Florida,,Transportation,"Economic development,Public transit","Access to services/medical care,Education,Employment,Safe and affordable public transit",Regional,"Urban,Suburban",Government agency,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Literature review,Quantitative research,Qualitative research",No,Other funding,Completed
Tice Community Connectivity and Redevelopment,HIA reports,"2015, January","An HIA of community-driven alternatives to development and growth plans in Lee County, Florida.",Florida Department of Health in Lee County,,Lee County,Florida,,"Planning and zoning,Transportation","Active transportation,Public transit","Clean air and water,Community safety,Diet and physical activity,Safe and accessible active transportation routes,Safe and affordable public transit,Safe street infrastructure",County,Urban,Government agency,"Children,Economically disadvantaged,Racial and ethnic minorities","Focus groups,Quantitative research,Qualitative research,Literature review,Primary research",No,Other funding,Completed
Town ‘N’ Country Parks and Recreation,HIA reports,"2015, January","An HIA of policy and programming changes that would allow businesses to provide free outdoor fitness classes in five parks and recreation centers in the Town ’N’ Country neighborhood of Tampa, Florida.","Florida Department of Health in Hillsborough County; Hillsborough County Department of Parks, Recreation, and Conservation; University of South Florida College of Public Health; Partners in Obesity Prevention",,Hillsborough County,Florida,,Other,"Mental/behavioral health,Parks and green spaces,Programs","Community safety,Diet and physical activity,Family and social support,Safe and affordable parks and recreational facilities",County,"Urban,Suburban,Rural",Government agency,"Chronic health conditions,Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Focus groups,Primary research,Literature review",No,Other funding,Completed
Alachua County Transportation Access to Healthy Food Sources,HIA reports,"2013, January","A rapid health impact assessment that examined proposed changes to transportation access in Alachua County, Florida.","University of Florida Department of Urban and Regional Planning, Florida Department of Health",,Alachua County,Florida,,"Planning and zoning,Transportation","Food and nutrition,Programs","Access to healthy food,Safe and affordable public transit,Income and wealth,Safe and accessible active transportation routes",Local,Suburban,Educational institution,Racial and ethnic minorities,"Primary research,Qualitative research,Quantitative research",No,Other funding,Completed
Wichita Transit System,HIA reports,"2013, October","An HIA to assess how proposed changes to Wichita, Kansas’ transit system might affect the well-being of area residents.","The Kansas Health Institute, the University of Kansas School of Medicine – Wichita ",,Witchita,Kansas,,Transportation,Public transit,"Access to healthy food,Access to services/medical care,Employment,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Nonprofit organization,Economically disadvantaged,"Literature review,Primary research,Quantitative research,Qualitative research",Yes,Health Impact Project grantee,Completed
Kansas Corporate Farming Law,HIA reports,"2015, March","An HIA on the Kansas Agriculture Growth and Rural Investment Initiative, which was introduced in 2013 to remove operating restrictions for certain agribusinesses and amend the definitions of limited agriculture partnerships, family farm corporations, and other ownership structures.",Kansas Health Institute,,,Kansas,,"Agriculture,Industrial","Production,Legislation,Regulation,Economic development","Employment,Clean air and water,Disease vectors,Income and wealth",State,Rural,Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Literature review,Quantitative research,Primary research",No,Health Impact Project grantee,Completed
Legalizing Medical Marijuana in Kansas,HIA reports,"2015, September","An HIA of how legalizing medical marijuana in Kansas could affect five health factors: access to and consumption of marijuana, crime, driving under the influence of marijuana, related traffic accidents, and accidental ingestion, with an emphasis on disproportionate effects on at-risk youth.",Kansas Health Institute,,,Kansas,,Consumer products,"Legislation,Regulation,Addictive substances and behaviors,Treatment alternatives,Reform","Alcohol, tobacco, and drug use",State,"Urban,Suburban",Nonprofit organization,Children,"Literature review,Primary research,GIS mapping",No,Other funding,Completed
Potential Health Effects of Changes to the Kansas Liquor Control Act,HIA reports,"2015, June",An HIA to inform the state’s decision on whether to revise the Kansas Liquor Control Act to allow convenience and grocery stores to hold retail liquor licenses.,Kansas Health Institute,,Topeka,Kansas,,Planning and zoning,"Addictive substances and behaviors,Legislation,Regulation,Reform","Alcohol, tobacco, and drug use,Community safety",State,"Urban,Suburban,Rural",Nonprofit organization,"Children,Older adults,Economically disadvantaged,Racial and ethnic minorities,Mental illness,Individuals with disabilities",Literature review,No,Health Impact Project grantee,Completed
Kentucky Worksite Wellness Tax Credit ,HIA reports,"2012, February","An HIA focused on the Kentucky Worksite Wellness Tax Credit policy for employers that had been proposed in 2008, 2009, and 2010.",Kentucky Department for Public Health,,Frankfort,Kentucky,,"Labor and employment,Tax and budget policy",Food and nutrition,"Diet and physical activity,Employment,Family and social support",State,"Urban,Suburban,Rural",Government agency,Economically disadvantaged,Literature review,No,Other funding,Completed
Regional Economic Development Strategies in Southeastern Kentucky,HIA reports,In progress,"An HIA to examine how regional economic development strategies can improve health in eight counties in southeastern Kentucky through job creation, an increased tax base, and enhanced access to goods and services.",Kentucky River Area Development District,,,Kentucky,,"Community development,Tax and budget policy",Economic development,"Adverse childhood experiences,Employment,Income and wealth",Regional,,Government agency,,,No,Health Impact Project grantee,In progress
Family Responsibility Statements in Judicial Decisions,HIA reports,"2018, January","An HIA that examined the effects on the health and well-being of families, especially children, of using family responsibility statements during the sentencing of parents or primary caregivers.  ",The Special Project for Families Affected by Incarceration; Louisville Department of Public Health and Wellness,,Louisville,Kentucky,,Criminal justice,"Treatment alternatives,Programs","Adverse childhood experiences,Community safety,Family and social support,Incarceration",Local,Urban,"Nonprofit organization,Government agency","Racial and ethnic minorities,Children,Current/former correctional population","Qualitative research,Focus groups,Literature review",No,Health Impact Project grantee,Completed
Shawnee Fossil Plant,HIA reports,"2014, January",An HIA to inform decisions on whether to retire or retrofit two industrial facilities in western Kentucky.,Kentucky Environmental Foundation,,Paducah,Kentucky,,"Energy,Industrial","Coal,Economic development,Production","Alcohol, tobacco, and drug use,Clean air and water,Diet and physical activity,Employment,Income and wealth",Regional,Urban,Nonprofit organization,"Children,Chronic health conditions,Older adults","Primary research,Quantitative research,Qualitative research",Yes,Health Impact Project grantee,Completed
Coal and Clean Energy Options in Kentucky,HIA reports,"2012, January",An HIA to provide a health-based screening of the life cycle of coal from point of extraction to disposal of byproducts.,Kentucky Environmental Foundation,,Berea,Kentucky,,Energy,"Coal,Utilities,Resilience and sustainability,Solar,Wind","Clean air and water,Education,Employment,Income and wealth",State,Rural,Nonprofit organization,Children,"Quantitative research,Qualitative research",No,Other funding,Completed
Fresh Foods Market in Central City New Orleans,HIA reports,"2015, March",A health impact assessment to inform redevelopment in New Orleans’ historic Claiborne Corridor.,"The New Orleans Health Department, in conjunction with the Livable Claiborne Communities Initiative",,New Orleans,Louisiana,,"Community development,Planning and zoning","Economic development,Food and nutrition,Siting,Redevelopment","Access to healthy food,Diet and physical activity,Family and social support",Local,Urban,Government agency,"Economically disadvantaged,Chronic health conditions,Older adults,Racial and ethnic minorities","Literature review,Primary research,Focus groups,Qualitative research",No,Health Impact Project grantee,Completed
Power Generation Alternatives for the Michoud Natural Gas Plants,HIA reports,"2016, September","An HIA of a new natural gas combustion turbine plant to be built on the site of the decommissioned Michoud Power Plant in the New Orleans East neighborhood, focused on energy reliability and resilience, air quality, climate change, subsidence, noise, traffic, and household expenditures.",Louisiana Public Health Institute; Alliance for Affordable Energy,,New Orleans,Louisiana,,"Energy,Industrial","Production,Gas and oil,Resilience and sustainability,Siting","Clean air and water,Noise,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Primary research,Literature review",No,Health Impact Project grantee,Completed
Androscoggin Greenway Plan,HIA reports,"2012, January",An HIA to assist a land trust and affiliated municipalities with the prioritization of several proposed trails within an urban setting in Maine.,Maine Network of Healthy Communities,,Topsham,Maine,,"Planning and zoning,Natural resources management","Parks and green spaces,Active transportation,Land-use planning,Water","Diet and physical activity,Safe and affordable parks and recreational facilities,Safe and accessible active transportation routes,Safe street infrastructure",Regional,Rural,Nonprofit organization,Economically disadvantaged,"Qualitative research,Primary research,Quantitative research",No,Other funding,Completed
Maine Paid Sick Days,HIA reports,"2009, November","An HIA that addressed Maine’s version of the federal Healthy Families Act, which would have entitled employees to accrue paid sick time at a rate of one hour per 30 hours worked, up to nine days a year.","Human Impact Partners, Maine Women's Policy Center, Maine Health Access Foundation and Family Values, Work: A Multi-state Consortium",,,Maine,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Legislation,Mental/behavioral health","Employment,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Chronic health conditions,Economically disadvantaged","Focus groups,Primary research,Qualitative research,Quantitative research,Literature review",No,Other funding,Completed
Baltimore Red Line,HIA reports,"2008, January",An HIA that addressed the potential health effects of a proposed 14-mile transit line across sections of Baltimore City and County in Maryland.,Baltimore City Department of Transportation,,Baltimore,Maryland,,"Planning and zoning,Transportation","Parks and green spaces,Land-use planning,Active transportation","Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Clean air and water,Diet and physical activity,Family and social support,Noise",County,Urban,Government agency,"Chronic health conditions,Racial and ethnic minorities,Economically disadvantaged","Literature review,Primary research,Qualitative research",No,Other funding,Completed
Baltimore-Washington Rail Intermodal Facility HIA,HIA reports,"2013, August",An HIA to determine the effects of the proposed Baltimore-Washington Rail Intermodal Facility at several potential sites in the region.,National Center for Healthy Housing,,Baltimore,Maryland,,Transportation,"Economic development,Siting,Rail","Clean air and water,Employment,Safe street infrastructure",State,Urban,Nonprofit organization,"Racial and ethnic minorities,Economically disadvantaged,Chronic health conditions,Older adults","Focus groups,Literature review,Primary research,Quantitative research,Qualitative research",Yes,Health Impact Project grantee,Completed
